STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,1995,,35.1,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,1996,,36.0,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,1997,,36.4,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,1998,,36.7,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,1999,,36.9,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2000,,37.8,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2001,,38.6,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2002,,39.2,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2003,,39.7,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2004,,38.0,,,,,
dataflow,ESTAT:DEMO_PJANIND(1.0),Population structure indicators at national level,A,Annual,DEPRATIO1,"Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years)",AD,Andorra,2005,,36.6,,,,,
