geo,year,country,election_date,party_name,vote_share_percent,parfam,right_left_position,planned_economy,welfare_state,market_economy,inter_positive,democracy,sustainability_positive,parfam_code,parfam_label,party_code,wealth_top10_share,rel_immigration,gdp_per_cap,urban_population_pct,inflation_rate,unemployment_rate,Tertiary education,debt_to_gdp,dependency_ratio_15_64,median_age
RO,1995,Romania,1992-09-27,Hungarian Democratic Alliance of Romania,7.457,90.0,9.167,1.667,5.0,10.0,4.167,4.444,,ETH,Ethnic and regional parties,93951,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Democratic Agrarian Party of Romania,2.999,80.0,-8.491,8.962,6.132,7.075,3.774,7.075,,AGR,Agrarian parties,93810,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Democratic Convention of Romania,20.01,50.0,7.803,7.659,10.694,9.971,1.012,1.012,,CHR,Christian democratic parties (in Israel also Jewish parties),93411,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Democratic National Salvation Front,27.717,20.0,-8.489,14.389,6.729,3.002,2.174,2.07,,LEF,Socialist or other left parties,93223,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Greater Romania Party,3.898,70.0,6.623,7.285,4.636,3.311,1.325,1.987,,NAT,Nationalist and radical right parties,93712,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,National Salvation Front,10.188,30.0,23.669,0.592,3.55,4.142,1.775,2.959,,SOC,Social democratic parties,93221,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Socialist Labour Party,3.036,20.0,-15.909,12.727,7.955,1.818,2.955,1.364,,LEF,Socialist or other left parties,93713,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
RO,1995,Romania,1992-09-27,Romanian National Unity Party,7.717,70.0,18.644,1.695,0.0,0.847,0.0,3.39,,NAT,Nationalist and radical right parties,93711,0.5761000000000001,0.5136274793361824,4.20752254376104,53.677523113411,38.8,5.6,11.2,69.0,48.5,34.0
LT,1995,Lithuania,1992-10-25,Lithuanian Democratic Labour Party,43.976,20.0,28.814,2.542,5.932,5.932,0.847,6.78,,LEF,Socialist or other left parties,88220,0.5701,0.05566115253856188,5.82855284120009,67.2663125852689,24.7,13.7,34.3,11.4,51.7,33.9
LT,1995,Lithuania,1992-10-25,Lithuanian Polish Union,2.14,90.0,-1.087,0.0,8.696,6.522,5.435,6.522,,ETH,Ethnic and regional parties,88951,0.5701,0.05566115253856188,5.82855284120009,67.2663125852689,24.7,13.7,34.3,11.4,51.7,33.9
