geo,election_year,election_date,vs_AGR,vs_CHR,vs_CON,vs_DIV,vs_ECO,vs_ETH,vs_LEF,vs_LIB,vs_NAT,vs_SIP,vs_SOC,fragmentation_enp,polarization_dalton
AT,1995,1995-12-17,0.0,28.291,0.0,0.0,4.815,0.0,0.0,5.513,21.885,0.0,38.059,3.595313289238118,3.07112211147367
AT,1999,1999-10-03,0.0,26.91,0.0,0.0,7.4,0.0,0.0,0.0,26.91,0.0,33.2,3.8383351574381446,3.1170039687653137
AT,2002,2002-11-24,0.0,42.3,0.0,0.0,9.47,0.0,0.562,0.0,10.01,0.0,36.51,3.018898050624592,0.5239016321760585
AT,2006,2006-10-01,0.0,34.33,0.0,0.0,11.05,0.0,0.0,0.0,15.149999999999999,0.0,35.34,3.719766620354332,1.304706165956562
AT,2008,2008-09-28,0.0,25.98,0.0,0.0,10.43,0.0,0.76,0.0,28.24,0.0,29.26,4.8482213403092125,1.4068703531552897
AT,2013,2013-09-29,0.0,23.991,0.0,0.0,12.416,0.0,0.0,4.964,20.506,5.725,26.819,5.189691380756341,3.623625553873205
AT,2017,2017-10-15,0.0,31.47,0.0,0.0,8.209,0.0,0.0,5.296,25.966,0.0,26.859,4.085089415707594,2.847278282946048
AT,2019,2019-09-29,0.0,37.457,0.0,0.0,13.9,0.0,0.0,8.103,16.174,0.0,21.181,4.215623235030529,3.3550414029308384
BE,1995,1995-05-21,0.0,24.901999999999997,0.0,0.0,8.439,4.669,0.0,23.412,7.834,0.0,24.428,9.520241844912281,1.4889688684983033
BE,1999,1999-06-13,0.0,19.967,0.0,0.0,14.35,5.561,0.0,24.444000000000003,9.87,0.0,19.714,10.348328782672999,1.4753032968818909
BE,2003,2003-05-18,0.0,18.721,0.0,0.0,5.53,3.064,0.0,26.752000000000002,11.68,0.0,27.932,8.894404423711022,2.1980711467393386
BE,2007,2007-06-10,0.0,20.865000000000002,0.0,0.0,9.087,3.702,0.0,28.374,11.99,0.0,21.123,10.086195202043138,4.101410909401812
BE,2010,2010-06-13,0.0,16.368000000000002,0.0,0.0,9.177,17.398,0.0,20.224,7.763,0.0,22.94,10.076412296142744,3.9822747772704252
BE,2014,2014-05-25,0.0,16.595,0.0,0.0,5.322,22.059,1.971,19.272,5.194,0.0,20.499000000000002,9.79271290624056,2.7815245477640422
BE,2019,2019-05-26,0.0,12.58572117256772,0.0,0.0,12.24487251808042,18.24602458742949,8.622,16.10719041350406,11.949,0.0,16.17371520047524,10.972921466014245,3.385040585211927
BG,1994,1994-12-18,0.0,0.0,4.726,0.0,0.0,5.442,0.0,24.228,6.507,0.0,43.501,3.8855707586809345,2.1728486414548316
BG,1997,1997-04-19,0.0,0.0,4.928,7.566,0.0,0.0,0.0,52.238,0.0,0.0,27.563000000000002,3.005322052996454,0.8378673714287633
BG,2001,2001-06-18,0.0,0.0,0.0,0.0,0.0,7.451,0.0,60.921,0.0,0.0,17.148,3.9890273250948676,1.8721588929798207
BG,2005,2005-06-25,5.191,0.0,0.0,0.0,0.0,12.812,0.0,34.002,8.137,0.0,30.952,5.844225304671066,2.5418432358105587
BG,2009,2009-07-05,0.0,46.479,4.131,0.0,0.0,14.446,0.0,0.0,9.364,0.0,17.7,4.4442685422707715,2.249601877408722
BG,2013,2013-05-12,0.0,30.539,0.0,0.0,0.0,11.307,0.0,0.0,7.298,0.0,26.612,5.488660619811459,2.884381404775141
BG,2014,2014-10-05,0.0,32.666,21.865000000000002,0.0,0.0,14.837,0.0,0.0,4.516,0.0,19.546,5.7926001456282865,2.1584314386654078
BG,2017,2017-03-26,0.0,32.655,4.145,0.0,0.0,8.993,0.0,0.0,9.066,0.0,27.195,5.034829743808528,1.0793164717103865
CY,1996,1996-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12,34.47,0.0,41.13,3.806857124236173,0.6836881690219857
CY,2001,2001-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.05,34.48,0.0,41.81,3.706304980717948,0.7820600447067494
CY,2006,2006-05-21,0.0,0.0,0.0,0.0,1.946,0.0,0.0,23.666000000000004,30.344,0.0,40.039,4.29745687851513,3.8464409707883807
CY,2011,2011-05-22,0.0,0.0,0.0,0.0,2.215,0.0,0.0,19.643,34.278,0.0,41.595,3.8605867462192553,3.3619558154001297
CY,2016,2016-05-22,0.0,0.0,5.243,0.0,4.812,0.0,0.0,14.492,34.396,0.0,37.865,5.129873652494408,3.625347892258139
DE,1994,1994-10-16,0.0,41.44,0.0,0.0,7.27,0.0,4.386,6.917,0.0,0.0,36.387,3.163333518761618,4.375696620521998
DE,1998,1998-09-27,0.0,35.145,0.0,0.0,6.696,0.0,5.101,6.248,0.0,0.0,40.929,3.310986177574021,3.103225656040749
DE,2002,2002-09-22,0.0,38.5,0.0,0.0,8.564,0.0,3.993,7.373,0.0,0.0,38.521,3.2156773635525675,2.3922122555895013
DE,2005,2005-09-18,0.0,35.17,0.0,0.0,8.117,0.0,8.709,9.829,0.0,0.0,34.247,3.776253191915773,3.533188577179827
DE,2009,2009-09-27,0.0,33.8,0.0,0.0,10.706,0.0,11.888,14.563,0.0,0.0,23.035,4.670550628690817,2.607399136049838
DE,2013,2013-09-22,0.0,41.5,0.0,0.0,8.444,0.0,8.6,4.8,4.7,2.2,25.7,3.8790193809214166,2.847568997700344
DE,2017,2017-09-24,0.0,32.925,0.0,0.0,8.94,0.0,9.238,10.748,12.637,0.0,20.508,5.141094231092513,3.381941092968873
DE,2021,2021-09-26,0.0,24.1,0.0,0.0,14.8,0.12,4.9,11.5,10.3,0.0,25.7,5.80482641131003,3.4332071753068587
DK,1994,1994-09-21,0.0,1.848,17.861,0.0,0.0,0.0,10.43,27.884,6.433,0.0,34.561,4.762750097883682,5.620845867514708
DK,1998,1998-03-11,0.0,2.51,13.23,0.0,0.0,0.0,10.26,27.860000000000003,9.83,0.0,35.93,4.73503187765511,4.140682094252849
DK,2001,2001-11-20,0.0,2.28,9.07,0.0,0.0,0.0,8.77,36.44,12.0,0.0,29.08,4.7015785832187875,4.915291182533131
DK,2005,2005-02-08,0.0,1.7,11.273,0.0,0.0,0.0,9.388,38.211999999999996,13.253,0.0,25.835,5.189346791839198,5.058379398933466
DK,2007,2007-11-13,0.0,0.0,10.39,0.0,0.0,0.0,15.209999999999999,34.19,13.86,0.0,25.47,5.413536830348201,2.843442288771245
DK,2011,2011-09-15,0.0,0.0,4.922,0.0,0.0,0.0,15.878,41.194,12.303,0.0,24.857,5.70690906146559,5.358579483105615
DK,2015,2015-06-18,0.0,0.0,3.353,0.0,0.0,0.0,16.789,31.58,21.078,0.0,26.284,5.8664767918095055,5.261851662729655
DK,2019,2019-06-05,0.0,0.0,6.622,0.0,0.0,0.0,17.603,34.35,11.091,0.0,25.905,6.4926723411034395,3.4897433410426557
EE,1995,1995-03-05,32.23,0.0,12.862,0.0,0.0,5.874,0.0,30.360999999999997,0.0,0.0,5.989,6.0282215047808085,1.8591401701467005
EE,1999,1999-03-07,14.902999999999999,0.0,16.09,0.0,0.0,6.13,0.0,39.333,0.0,0.0,15.205,6.942503575967306,2.7522073055787213
EE,2003,2003-03-02,13.027,0.0,31.915,0.0,0.0,0.0,0.0,43.114,0.0,0.0,7.036,5.442508071429959,1.3056837504706833
EE,2007,2007-03-04,7.13,0.0,17.87,0.0,7.14,0.0,0.0,53.9,0.0,0.0,10.06,5.059510468076563,2.95099490796971
EE,2011,2011-03-06,2.118,0.0,20.521,0.0,3.795,0.0,0.0,51.88,0.0,0.0,17.093,4.780901878136712,1.3686845517548123
EE,2015,2015-03-01,0.0,0.0,22.387999999999998,0.0,0.0,0.0,0.0,52.5,8.146,0.0,15.186,5.148259727792233,2.358340471495249
