General Government Debt (Percent of GDP);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Albania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24.629.863;29.359.587;3.469.009;51.409.342;57.010.236;57.789.526;63.018.746;59.899.958;63.343.117;59.536.068;56.798.357;57.518.871;56.021.438;52.920.536;54.491.346;58.964.788;57.040.754;58.713.917;6.141.363;69.563.244;7.114.565;7.284.941;72.462.094;7.104.928;68.655.032;66.575.406;75.380.942;74.794.583;65.197.886;58.364.757;55.652.641
Australia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17.016.497;16.406.689;21.607.126;27.631.688;30.665.034;31.709.047;31.143.021;29.345.241;25.907.213;23.698.221;22.543.955;19.495.351;17.105.665;15.010.398;13.186.322;11.907.291;10.858.112;99.377.855;96.654.472;11.741.729;16.622.245;20.349.581;24.040.466;27.521.471;30.466.475;34.036.272;37.725.806;40.620.637;41.195.415;41.758.013;46.720.395;57.091.508;55.536.795;50.221.601;48.972.781;49.828.052
Austria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18.649.735;17.389.201;16.681.548;1.669.436;16.821.684;22.841.119;26.188.977;28.489.775;32.150.983;34.129.521;35.591.785;37.474.346;39.710.841;43.651.391;46.006.996;47.767.071;51.950.128;55.490.768;57.680.598;56.641.837;56.239.482;56.443.053;56.336.007;60.962.443;64.071.427;68.238.169;68.180.321;63.373.173;69.196.552;61.339.556;66.108.882;67.238.356;6.744.032;66.411.818;65.912.064;69.427.592;68.176.417;65.813.112;6.952.806;80.752.328;8.365.397;83.356.075;82.935.499;82.430.835;8.520.981;85.614.769;83.419.065;79.057.183;74.586.245;71.005.856;83.183.042;82.394.523;78.343.932;78.404.244;81.205.646
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9.222.745;81.150.967;12.274.158;15.813.183;2.029.503;32.546.849;36.805.213;58.223.333;36.946.222;36.859.473;38.790.605;53.006.888;5.348.163;53.159.846;47.515.236;40.999.215;47.493.317;4.118.201;4.079.221;40.719.905;44.377.985
Belgium;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;66.596.594;63.530.067;64.934.534;63.749.018;61.749.869;59.520.324;61.381.489;61.634.355;65.154.347;69.199.449;76.796.468;89.685.638;99.633.508;11.028.688;11.461.184;11.938.722;12.466.971;12.922.713;12.968.559;12.640.723;13.030.699;13.179.659;13.468.337;13.892.523;13.708.275;13.128.605;12.900.396;1.242.712;1.191.859;11.536.185;10.958.904;10.821.685;10.543.668;10.165.931;97.169.665;9.514.187;91.494.413;87.324.624;93.159.779;99.853.049;10.024.502;10.273.534;10.433.474;10.502.132;10.652.412;10.552.513;10.540.368;1.023.996;99.977.366;97.461.028;11.109.844;10.837.017;10.255.508;10.312.131;10.446.778
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;54.397.341;56.038.876;34.599.347;35.127.792;31.118.246;27.563.432;25.486.874;24.861.039;20.576.926;18.168.645;30.321.124;36.368.137;4.220.547;40.940.843;43.557.458;43.754.609;47.140.103;46.375.576;4.487.429;38.615.913;3.489.422;33.168.017;37.098.361;3.561.778;3.101.327;31.587.913;32.752.304
Brazil;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;67.330.659;76.095.054;7.151.364;68.025.064;66.968.516;64.598.819;63.024.659;61.420.078;64.701.584;62.433.202;6.063.371;61.614.255;59.594.682;61.617.149;71.729.677;77.422.191;82.744.953;84.777.046;87.118.481;96.006.839;88.934.272;83.938.835;84.000.518;87.283.842
Bulgaria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;96.226.652;67.454.552;75.344.999;70.717.102;64.505.119;5.100.545;43.378.565;35.728.001;26.581.739;20.872.088;16.315.904;13.017.411;13.663.296;15.296.391;15.151.927;16.579.418;16.995.402;2.700.609;25.921.783;29.102.531;25.108.936;22.139.583;20.080.731;24.440.489;23.838.633;22.484.552;22.886.156;24.078.302
Cambodia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29.373.641;30.131.024;31.409.595;37.158.452;34.647.175;34.851.729;33.509.059;37.830.333;39.782.035;3.874.421;31.669.666;26.728.954;25.067.753;22.954.373;23.681.737;23.401.836;23.794.783;24.861.497;24.397.328;24.174.133;23.263.543;21.789.669;22.640.923;21.088.535;20.835.364;2.522.668;25.941.931;2.504.324;25.731.654;26.622.141
Canada;87.749.903;76.520.917;70.054.312;67.192.534;68.277.314;66.456.116;58.404.764;57.632.371;63.096.356;64.175.397;64.874.549;67.360.435;66.641.207;65.377.952;62.025.052;58.308.955;57.071.468;57.024.001;56.320.384;54.425.403;5.674.467;57.892.179;56.689.727;52.330.526;49.502.748;49.877.217;42.836.137;44.299.541;47.117.918;44.161.177;44.589.724;4.607.713;51.706.678;57.211.249;60.212.917;65.166.256;6.932.348;6.976.068;697.445;70.986.777;73.744.251;81.658.172;88.229.988;94.730.248;97.480.466;10.008.417;10.024.388;95.272.492;93.290.188;88.965.669;80.436.608;81.462.033;79.604.069;75.911.797;718.894;7.064.041;69.919.832;67.181.353;7.035.535;81.804.123;83.976.212;84.286.296;87.150.948;8.760.508;85.540.514;92.028.852;92.396.824;90.942.246;90.776.119;90.210.165;11.806.558;11.261.731;10.420.738;10.771.072;11.076.918
Chile;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43.136.493;36.961.679;30.290.659;27.969.412;22.568.587;17.214.625;14.584.476;12.779.823;12.115.297;13.277.007;1.314.564;14.348.084;1.504.533;12.573.018;10.314.065;70.396.205;50.223.977;39.012.603;49.159.891;58.449.264;86.073.275;1.112.689;11.939.073;12.784.064;15.019.748;1.737.466;21.100.505;23.651.639;25.798.028;28.329.642;32.380.101;36.447.857;37.907.331;3.941.519;41.980.756
China. People's Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21.423.797;21.220.679;20.394.346;20.438.078;21.609.056;22.707.831;24.252.332;25.553.138;2.641.798;25.999.898;25.910.046;25.173.645;28.707.723;26.715.032;33.984.778;33.343.159;33.184.085;33.825.236;36.437.679;39.307.847;40.781.626;4.971.999;53.903.251;55.577.191;59.441.472;69.035.362;70.146.806;75.453.183;82.013.641;88.327.128
Colombia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;23.276.291;25.252.401;27.442.235;33.968.611;37.972.177;4.107.851;47.526.084;45.021.342;41.465.506;38.532.609;35.969.176;32.663.251;32.382.419;35.386.764;3.649.704;35.783.449;33.966.527;37.592.206;43.318.837;5.037.476;49.904.076;49.448.557;51.761.259;50.971.504;65.274.227;64.416.601;61.299.782;55.456.568;61.276.566
Congo. Dem. Rep. of the;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;268.185;228.385;276.462;313.345;373.196;39.876;478.222;388.873;363.547;314.369;332.162;395.615;390.122;838.047;592.411;729.381;784.661;984.783;865.102;985.557;120.533;119.099;123.159;976.766;162.721;171.187;129.964;136.934;257.925;no data;13.498.226;18.541.066;13.604.229;11.446.404;16.408.604;11.199.821;10.754.943;85.089.009;80.300.868;9.161.682;31.796.115;29.320.681;25.128.495;23.827.825;22.774.442;25.483.497;32.979.113;23.179.812;19.288.227;19.392.913;24.856.474;24.685.264;22.603.115;25.060.587;19.309.748
