geo,year,country,election_date,party_name,vote_share_percent,party_code,parfam,right_left_position,planned_economy,welfare_state,market_economy,inter_positive,democracy,sustainability_positive,parfam_code,parfam_label,total_poverty,gdp_per_cap,consumer_prices,f_unemployment,m_unemployment,t_unemployment,dependency_ratio_15_64,debt_to_gdp,"Less than primary, primary and lower secondary education (levels 0-2)",Tertiary education (levels 5-8),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",migration_inflow,median_age,population_total,urban_population_pct,wealth_top10_share,rel_migration
AT,1949,Austria,1949-10-09,Austrian People’s Party,44.032,42520,50.0,32.2,0.0,16.0,7.1,3.6,5.4,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1949,Austria,1949-10-09,Austrian Social Democratic Party,38.713,42320,30.0,-13.6,3.4,11.9,0.0,6.8,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1949,Austria,1949-10-09,League of Independents,11.667,42420,70.0,4.7,9.7,13.4,5.8,1.0,6.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1950,Austria,1949-10-09,Austrian People’s Party,44.032,42520,50.0,32.2,0.0,16.0,7.1,3.6,5.4,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1950,Austria,1949-10-09,Austrian Social Democratic Party,38.713,42320,30.0,-13.6,3.4,11.9,0.0,6.8,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1950,Austria,1949-10-09,League of Independents,11.667,42420,70.0,4.7,9.7,13.4,5.8,1.0,6.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1951,Austria,1949-10-09,Austrian People’s Party,44.032,42520,50.0,32.2,0.0,16.0,7.1,3.6,5.4,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1951,Austria,1949-10-09,Austrian Social Democratic Party,38.713,42320,30.0,-13.6,3.4,11.9,0.0,6.8,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1951,Austria,1949-10-09,League of Independents,11.667,42420,70.0,4.7,9.7,13.4,5.8,1.0,6.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1952,Austria,1949-10-09,Austrian People’s Party,44.032,42520,50.0,32.2,0.0,16.0,7.1,3.6,5.4,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1952,Austria,1949-10-09,Austrian Social Democratic Party,38.713,42320,30.0,-13.6,3.4,11.9,0.0,6.8,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1952,Austria,1949-10-09,League of Independents,11.667,42420,70.0,4.7,9.7,13.4,5.8,1.0,6.7,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
AT,1953,Austria,1953-02-22,Austrian People’s Party,41.257,42520,50.0,29.5,1.6,7.3,9.8,2.4,8.9,,CHR,Christian democratic parties (in Israel also Jewish parties),,,,,,,,,,,,,,,,,,
AT,1953,Austria,1953-02-22,Austrian Social Democratic Party,42.108,42320,30.0,-16.5,11.5,12.8,0.0,5.1,5.1,,SOC,Social democratic parties,,,,,,,,,,,,,,,,,,
AT,1953,Austria,1953-02-22,League of Independents,10.949,42420,70.0,-3.6,5.1,11.5,2.6,12.8,18.0,,NAT,Nationalist and radical right parties,,,,,,,,,,,,,,,,,,
