STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2017,,23.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2018,,23.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2019,,23.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2020,,22.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2021,,22.5,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2022,,21.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AL,Albania,2023,,20.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,1995,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,1996,,16,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,1997,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,1998,,15,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,1999,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2000,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2001,,14,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2003,,13.9,,b,break in time series,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2004,,14.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2005,,13.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2006,,14.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2007,,13.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2008,,16.1,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2009,,15.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2010,,15.8,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2011,,15.0,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2012,,15.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2013,,15.2,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2014,,14.9,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2015,,14.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2016,,14.6,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2017,,15.3,,,,,
dataflow,ESTAT:ILC_LI02(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,AT,Austria,2018,,15.2,,,,,
