STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,citizen,Country of citizenship,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,1995,,4.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,1996,,5.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,1997,,5.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,1998,,5.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,1999,,4.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2000,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2001,,4.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2002,,4.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2003,,4.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2004,,5.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2005,,5.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2006,,5.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2007,,5.3,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2008,,4.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2009,,5.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2010,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2011,,4.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2012,,4.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2013,,5.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2014,,5.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2015,,5.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2016,,5.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2017,,5.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2018,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2019,,4.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2020,,5.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2021,,6.1,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2022,,4.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2023,,4.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,AT,Austria,2024,,4.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BA,Bosnia and Herzegovina,2021,,22.0,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BA,Bosnia and Herzegovina,2022,,19.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BA,Bosnia and Herzegovina,2023,,16.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BA,Bosnia and Herzegovina,2024,,16.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,1995,,12.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,1996,,12.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,1997,,11.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,1998,,11.7,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,1999,,10.2,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2000,,8.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2001,,6.9,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2002,,7.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2003,,8.0,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2004,,8.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2005,,9.5,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2006,,9.3,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2007,,8.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2008,,7.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2009,,8.1,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2010,,8.5,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2011,,7.2,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2012,,7.4,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2013,,8.2,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2014,,7.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2015,,7.8,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2016,,7.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2017,,7.1,,b,break in time series,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2018,,5.6,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2019,,4.9,,,,,
dataflow,ESTAT:LFSA_URGAN(1.0),Unemployment rates by citizenship,A,Annual,PC,Percentage,F,Females,Y15-74,From 15 to 74 years,TOTAL,Total,BE,Belgium,2020,,5.4,,,,,
